,genres
0,"[28, 12, 14, 878]"
1,"[28, 12, 14, 878]"
2,"[28, 16, 878]"
3,"[28, 9648, 878, 53]"
4,"[28, 10749, 16]"
5,"[16, 28, 14]"
6,"[28, 12, 35]"
7,"[16, 28, 35]"
8,"[28, 12, 14]"
9,"[28, 12, 14]"
10,"[14, 28]"
11,"[28, 18]"
12,"[14, 28, 12]"
13,"[28, 878, 12]"
14,"[28, 53]"
15,"[12, 28, 878]"
16,"[28, 18, 53]"
17,"[28, 12, 878, 53]"
18,"[28, 12, 878]"
19,"[80, 28, 878]"
20,"[28, 12, 878]"
21,"[878, 28, 53, 12]"
22,"[28, 12, 14]"
23,"[28, 12, 16, 10751, 35]"
24,"[28, 27, 53]"
25,"[878, 28, 12]"
26,"[28, 18]"
27,"[14, 12, 28]"
28,"[27, 14, 28, 878]"
29,"[28, 12, 878, 14]"
30,"[28, 878, 53]"
31,"[18, 28, 53, 10752]"
32,"[80, 35, 28, 12]"
33,"[28, 12, 16, 35, 10751]"
34,"[28, 53, 18]"
35,"[28, 80, 53]"
36,"[28, 12, 14, 878]"
37,"[28, 12, 14]"
38,"[14, 27, 28]"
39,"[28, 12, 16, 35, 14]"
40,"[28, 12, 35, 18, 14, 16]"
41,"[28, 12, 878, 14]"
42,"[878, 14, 28]"
43,"[28, 27, 53]"
44,"[14, 16, 28]"
45,"[28, 16, 12, 35]"
46,"[28, 80, 53]"
47,"[14, 28, 53, 27]"
48,"[28, 878]"
49,"[10752, 28, 36, 53, 18]"
50,"[28, 18, 53, 36]"
51,"[28, 12, 878]"
52,"[28, 18, 53]"
53,"[28, 12, 878]"
54,"[28, 12]"
55,"[28, 12, 878]"
56,"[35, 16, 28, 12]"
57,"[28, 80, 878]"
58,"[28, 80, 53]"
59,"[28, 18, 878]"
60,"[878, 28, 12]"
61,"[12, 18, 28]"
62,"[878, 28, 53]"
63,"[12, 28, 37]"
64,"[28, 12, 53]"
65,"[28, 18]"
66,"[27, 878, 28, 14]"
67,"[28, 35]"
68,"[16, 28, 35, 10751, 878]"
69,"[28, 53, 878]"
70,"[28, 12, 53]"
71,"[28, 12, 878]"
72,"[12, 28, 27]"
73,"[28, 12, 14]"
74,"[28, 14, 35]"
75,"[80, 35, 28]"
76,"[28, 18, 12]"
77,"[53, 28, 35]"
78,"[28, 878, 12]"
79,"[12, 16, 28]"
80,"[28, 16, 12, 35, 14]"
81,"[16, 878, 28]"
82,"[18, 28]"
83,"[28, 16, 80, 18]"
84,"[28, 53]"
85,"[14, 28, 12, 878]"
86,"[12, 878, 28, 9648]"
87,"[28, 35, 9648, 80]"
88,"[16, 878, 28]"
89,"[12, 28, 878]"
90,"[28, 12, 14]"
91,"[28, 80, 53]"
92,"[10751, 12, 16, 28, 14]"
93,"[28, 35]"
94,"[28, 35, 80]"
95,"[28, 12, 35, 10751, 878]"
96,"[16, 14, 28, 12, 18]"
97,"[878, 28, 12]"
98,"[35, 28, 16, 12]"
99,"[28, 18]"
100,"[878, 28, 12]"
101,"[28, 12, 878]"
102,"[12, 10751, 16, 28, 35]"
103,"[28, 12, 878]"
104,"[878, 28, 12, 35]"
105,"[12, 18, 878]"
106,"[28, 53, 80, 12]"
107,"[10751, 16, 12, 35]"
108,"[16, 10751, 12, 18, 35]"
109,"[878, 28, 53, 12]"
110,"[878, 12, 53]"
111,"[12, 28, 16]"
112,"[28, 12, 16, 10751]"
113,"[878, 35, 16, 10751, 12]"
114,"[12, 18, 28]"
115,"[28, 12, 53]"
116,"[12, 28, 878]"
117,"[12, 10751, 9648, 878]"
118,"[28, 12, 878, 53]"
119,"[878, 28, 12]"
